id,state,y,x
161,JUVENILE,11.0,169.0
162,JUVENILE,41.0,23.0
163,JUVENILE,11.0,169.0
164,ADULT_FEMALE_G,2.0,230.0
165,ADULT_FEMALE_G,7.0,212.0
166,ADULT_FEMALE_G,2.0,224.0
167,JUVENILE,285.0,178.0
168,JUVENILE,5.0,225.0
169,JUVENILE,5.0,225.0
170,ADULT_FEMALE_G,44.0,29.0
171,ADULT_FEMALE_G,1.0,212.0
172,ADULT_MALE,63.0,2.0
173,JUVENILE,11.0,169.0
174,ADULT_FEMALE_G,56.0,6.0
175,ADULT_FEMALE_G,11.0,214.0
176,JUVENILE,11.0,169.0
177,JUVENILE,62.0,4.0
178,JUVENILE,62.0,4.0
179,ADULT_MALE,1.0,178.0
180,ADULT_FEMALE_G,59.0,0.0
181,JUVENILE,307.0,173.0
182,JUVENILE,284.0,175.0
183,ADULT_FEMALE_G,51.0,4.0
184,ADULT_FEMALE_G,4.0,208.0
185,ADULT_FEMALE_G,58.0,6.0
186,JUVENILE,62.0,4.0
187,JUVENILE,11.0,169.0
188,JUVENILE,5.0,225.0
189,JUVENILE,11.0,169.0
190,ADULT_FEMALE_G,4.0,212.0
191,ADULT_FEMALE_G,52.0,11.0
192,JUVENILE,284.0,175.0
193,ADULT_FEMALE_G,3.0,214.0
194,ADULT_MALE,54.0,4.0
195,JUVENILE,62.0,4.0
196,ADULT_FEMALE_G,11.0,162.0
197,JUVENILE,284.0,175.0
198,ADULT_FEMALE_G,310.0,159.0
199,ADULT_FEMALE_G,287.0,181.0
200,JUVENILE,62.0,4.0
201,ADULT_FEMALE_G,278.0,154.0
202,ADULT_FEMALE_G,39.0,11.0
203,JUVENILE,284.0,175.0
204,JUVENILE,11.0,169.0
205,ADULT_MALE,16.0,177.0
206,ADULT_FEMALE_G,1.0,230.0
207,ADULT_FEMALE_G,0.0,222.0
208,ADULT_FEMALE_G,55.0,2.0
209,JUVENILE,62.0,4.0
210,JUVENILE,5.0,225.0
211,ADULT_FEMALE_G,75.0,3.0
212,ADULT_MALE,0.0,229.0
213,JUVENILE,5.0,225.0
214,ADULT_MALE,5.0,170.0
215,ADULT_FEMALE_G,293.0,180.0
216,JUVENILE,285.0,178.0
217,JUVENILE,5.0,225.0
218,ADULT_FEMALE_G,302.0,138.0
219,JUVENILE,5.0,225.0
220,ADULT_FEMALE_G,330.0,150.0
221,ADULT_FEMALE_G,4.0,169.0
222,ADULT_MALE,290.0,185.0
223,JUVENILE,11.0,169.0
224,JUVENILE,307.0,173.0
225,ADULT_FEMALE_G,7.0,163.0
226,JUVENILE,11.0,169.0
227,ADULT_MALE,10.0,217.0
228,JUVENILE,5.0,225.0
229,ADULT_FEMALE_G,3.0,214.0
230,ADULT_FEMALE_G,6.0,165.0
231,ADULT_FEMALE_G,2.0,219.0
232,JUVENILE,285.0,178.0
233,JUVENILE,11.0,169.0
234,ADULT_FEMALE_G,13.0,165.0
235,ADULT_MALE,0.0,229.0
236,ADULT_FEMALE_G,46.0,7.0
237,ADULT_FEMALE_G,51.0,10.0
238,JUVENILE,11.0,169.0
239,JUVENILE,62.0,4.0
240,ADULT_MALE,61.0,5.0
241,ADULT_FEMALE_G,60.0,6.0
242,ADULT_MALE,52.0,2.0
243,JUVENILE,11.0,169.0
244,ADULT_FEMALE_G,307.0,179.0
245,ADULT_FEMALE_G,314.0,188.0
246,ADULT_FEMALE_G,6.0,212.0
247,ADULT_FEMALE_G,62.0,3.0
248,JUVENILE,62.0,4.0
249,ADULT_FEMALE_G,7.0,221.0
250,ADULT_FEMALE_G,9.0,164.0
251,ADULT_FEMALE_G,78.0,7.0
252,JUVENILE,5.0,225.0
253,ADULT_FEMALE_G,24.0,173.0
254,ADULT_FEMALE_G,309.0,166.0
255,JUVENILE,11.0,169.0
256,ADULT_MALE,282.0,178.0
257,ADULT_MALE,0.0,225.0
258,JUVENILE,11.0,169.0
259,JUVENILE,41.0,23.0
260,JUVENILE,5.0,225.0
261,JUVENILE,62.0,4.0
262,ADULT_FEMALE_G,3.0,214.0
263,JUVENILE,5.0,225.0
264,JUVENILE,5.0,225.0
265,JUVENILE,285.0,178.0
266,ADULT_FEMALE_G,287.0,179.0
267,ADULT_FEMALE_G,64.0,2.0
268,ADULT_MALE,5.0,225.0
269,ADULT_MALE,8.0,222.0
270,JUVENILE,5.0,225.0
271,JUVENILE,62.0,4.0
272,ADULT_FEMALE_G,281.0,171.0
273,JUVENILE,5.0,225.0
274,ADULT_MALE,316.0,189.0
275,ADULT_FEMALE_G,16.0,163.0
276,JUVENILE,5.0,225.0
277,ADULT_MALE,52.0,6.0
278,ADULT_FEMALE_G,5.0,228.0
279,ADULT_FEMALE_G,1.0,228.0
280,JUVENILE,5.0,225.0
281,ADULT_MALE,12.0,175.0
282,ADULT_FEMALE_G,58.0,4.0
283,JUVENILE,11.0,169.0
284,JUVENILE,11.0,169.0
285,ADULT_FEMALE_G,6.0,214.0
286,JUVENILE,62.0,4.0
287,JUVENILE,5.0,225.0
288,ADULT_FEMALE_G,4.0,229.0
289,JUVENILE,62.0,4.0
290,ADULT_MALE,4.0,226.0
291,ADULT_MALE,305.0,135.0
292,ADULT_MALE,62.0,55.0
293,ADULT_FEMALE_G,283.0,174.0
294,ADULT_FEMALE_G,48.0,1.0
295,ADULT_FEMALE_G,10.0,164.0
296,JUVENILE,284.0,175.0
297,JUVENILE,5.0,225.0
298,JUVENILE,307.0,173.0
299,JUVENILE,62.0,4.0
300,ADULT_MALE,303.0,179.0
301,ADULT_FEMALE_G,308.0,194.0
302,ADULT_FEMALE_G,12.0,163.0
303,JUVENILE,11.0,169.0
304,ADULT_FEMALE_G,282.0,180.0
305,ADULT_FEMALE_G,1.0,228.0
306,JUVENILE,62.0,4.0
307,ADULT_FEMALE_G,5.0,226.0
308,JUVENILE,11.0,169.0
309,JUVENILE,5.0,225.0
310,ADULT_FEMALE_G,307.0,182.0
311,ADULT_FEMALE_G,6.0,165.0
312,JUVENILE,41.0,23.0
313,ADULT_FEMALE_G,10.0,216.0
314,ADULT_MALE,5.0,224.0
315,ADULT_MALE,6.0,218.0
316,ADULT_FEMALE_G,41.0,19.0
317,JUVENILE,5.0,225.0
318,JUVENILE,11.0,169.0
319,JUVENILE,62.0,4.0
320,JUVENILE,11.0,169.0
321,ADULT_FEMALE_G,270.0,148.0
322,ADULT_FEMALE_G,33.0,10.0
323,ADULT_FEMALE_G,58.0,1.0
324,JUVENILE,285.0,178.0
325,JUVENILE,5.0,225.0
326,ADULT_FEMALE_G,11.0,166.0
327,JUVENILE,62.0,4.0
328,ADULT_FEMALE_G,8.0,212.0
329,JUVENILE,5.0,225.0
330,JUVENILE,5.0,225.0
331,ADULT_MALE,289.0,178.0
332,ADULT_FEMALE_G,7.0,163.0
333,ADULT_FEMALE_G,46.0,12.0
334,JUVENILE,62.0,4.0
335,JUVENILE,5.0,225.0
336,JUVENILE,284.0,175.0
337,JUVENILE,285.0,178.0
338,JUVENILE,5.0,225.0
339,ADULT_MALE,275.0,127.0
340,ADULT_FEMALE_G,63.0,0.0
341,JUVENILE,307.0,173.0
342,JUVENILE,11.0,169.0
343,ADULT_MALE,307.0,197.0
344,JUVENILE,11.0,169.0
345,JUVENILE,5.0,225.0
346,JUVENILE,5.0,225.0
347,ADULT_FEMALE_G,3.0,203.0
348,JUVENILE,11.0,169.0
349,ADULT_FEMALE_G,6.0,207.0
350,JUVENILE,5.0,225.0
351,ADULT_MALE,297.0,179.0
352,ADULT_FEMALE_G,3.0,226.0
353,ADULT_FEMALE_G,64.0,1.0
354,ADULT_FEMALE_G,2.0,176.0
355,ADULT_FEMALE_G,3.0,228.0
356,JUVENILE,11.0,169.0
357,ADULT_FEMALE_G,319.0,164.0
358,ADULT_FEMALE_G,45.0,9.0
359,ADULT_FEMALE_G,5.0,225.0
360,ADULT_MALE,306.0,191.0
361,ADULT_FEMALE_G,3.0,228.0
362,ADULT_FEMALE_G,288.0,175.0
363,JUVENILE,307.0,173.0
364,ADULT_FEMALE_G,52.0,6.0
365,JUVENILE,5.0,225.0
366,JUVENILE,5.0,225.0
367,ADULT_FEMALE_G,290.0,179.0
368,ADULT_FEMALE_G,56.0,7.0
369,ADULT_FEMALE_G,38.0,9.0
370,JUVENILE,307.0,173.0
371,JUVENILE,5.0,225.0
372,ADULT_FEMALE_G,1.0,230.0
373,ADULT_FEMALE_G,60.0,8.0
374,ADULT_MALE,78.0,5.0
375,ADULT_MALE,58.0,9.0
376,JUVENILE,5.0,225.0
377,ADULT_MALE,13.0,163.0
378,JUVENILE,284.0,175.0
379,JUVENILE,5.0,225.0
380,ADULT_FEMALE_G,3.0,217.0
381,ADULT_MALE,8.0,166.0
382,ADULT_FEMALE_G,294.0,172.0
383,ADULT_MALE,53.0,9.0
384,ADULT_FEMALE_G,1.0,222.0
385,ADULT_FEMALE_G,5.0,220.0
386,ADULT_MALE,14.0,172.0
387,JUVENILE,5.0,225.0
388,JUVENILE,11.0,169.0
389,ADULT_FEMALE_G,10.0,163.0
390,JUVENILE,62.0,4.0
391,ADULT_MALE,8.0,165.0
392,ADULT_MALE,8.0,167.0
393,ADULT_MALE,54.0,38.0
394,ADULT_FEMALE_G,62.0,1.0
395,ADULT_FEMALE_G,9.0,220.0
396,JUVENILE,62.0,4.0
397,ADULT_FEMALE_G,10.0,166.0
398,JUVENILE,62.0,4.0
399,ADULT_FEMALE_G,0.0,228.0
400,ADULT_FEMALE_G,41.0,15.0
401,ADULT_FEMALE_G,46.0,6.0
402,ADULT_FEMALE_G,280.0,175.0
403,ADULT_FEMALE_G,7.0,172.0
404,JUVENILE,11.0,169.0
405,ADULT_MALE,0.0,225.0
406,ADULT_MALE,6.0,172.0
407,ADULT_FEMALE_G,13.0,162.0
408,JUVENILE,62.0,4.0
409,ADULT_FEMALE_G,3.0,225.0
410,ADULT_MALE,20.0,176.0
411,ADULT_MALE,9.0,164.0
412,ADULT_MALE,298.0,171.0
413,ADULT_FEMALE_G,7.0,163.0
414,JUVENILE,5.0,225.0
415,ADULT_FEMALE_G,11.0,166.0
416,ADULT_MALE,41.0,10.0
417,JUVENILE,11.0,169.0
418,JUVENILE,62.0,4.0
419,JUVENILE,11.0,169.0
420,ADULT_FEMALE_G,60.0,2.0
421,JUVENILE,5.0,225.0
422,JUVENILE,5.0,225.0
423,JUVENILE,11.0,169.0
424,ADULT_FEMALE_G,60.0,2.0
425,ADULT_FEMALE_G,2.0,214.0
426,ADULT_FEMALE_G,292.0,152.0
427,ADULT_MALE,285.0,178.0
428,ADULT_FEMALE_G,282.0,177.0
