epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
30,7333.87,0.01345,0.70756,1.1577,0.94253,0.92606,0.96395,0.65509,0.00922,0.40894,0.82489,0.0261099,0.00870331,0.0261099,0.00870331,0.0261099,0.00870331,0.0261099,0.00870331
31,7418.6,0.0134,0.70123,1.16002,0.92921,0.9326,0.95939,0.65483,0.00911,0.40569,0.81353,0.0259758,0.00865859,0.0259758,0.00865859,0.0259758,0.00865859,0.0259758,0.00865859
32,7505.54,0.01335,0.69806,1.15255,0.93973,0.92259,0.96257,0.65749,0.00905,0.40097,0.8039,0.0258416,0.00861388,0.0258416,0.00861388,0.0258416,0.00861388,0.0258416,0.00861388
33,7592.05,0.01336,0.69505,1.14575,0.94612,0.91166,0.95772,0.6508,0.00911,0.39892,0.8037,0.0257075,0.00856917,0.0257075,0.00856917,0.0257075,0.00856917,0.0257075,0.00856917
34,7676.87,0.01323,0.68756,1.13854,0.93618,0.91803,0.95804,0.65411,0.00904,0.3936,0.80314,0.0255734,0.00852445,0.0255734,0.00852445,0.0255734,0.00852445,0.0255734,0.00852445
35,7761.63,0.01325,0.68373,1.14623,0.92513,0.91985,0.95124,0.65236,0.00912,0.38892,0.81069,0.0254392,0.00847974,0.0254392,0.00847974,0.0254392,0.00847974,0.0254392,0.00847974
36,7846.82,0.01322,0.68355,1.14805,0.927,0.92516,0.95849,0.65837,0.00897,0.38662,0.80701,0.0253051,0.00843503,0.0253051,0.00843503,0.0253051,0.00843503,0.0253051,0.00843503
37,7935.85,0.01312,0.67534,1.1424,0.9313,0.93898,0.96726,0.66687,0.00891,0.38199,0.80252,0.0251709,0.00839031,0.0251709,0.00839031,0.0251709,0.00839031,0.0251709,0.00839031
38,8020.73,0.01305,0.67455,1.13338,0.94302,0.94171,0.9654,0.66788,0.00888,0.37877,0.80285,0.0250368,0.0083456,0.0250368,0.0083456,0.0250368,0.0083456,0.0250368,0.0083456
39,8105.8,0.01303,0.66483,1.12925,0.94436,0.92805,0.96187,0.66748,0.009,0.37958,0.80837,0.0249027,0.00830088,0.0249027,0.00830088,0.0249027,0.00830088,0.0249027,0.00830088
40,8190.54,0.013,0.6725,1.13108,0.94399,0.92987,0.96065,0.66949,0.00889,0.37501,0.80689,0.0247685,0.00825617,0.0247685,0.00825617,0.0247685,0.00825617,0.0247685,0.00825617
41,8279.78,0.01293,0.66164,1.1276,0.94253,0.92608,0.95958,0.66851,0.00883,0.37487,0.80458,0.0246344,0.00821146,0.0246344,0.00821146,0.0246344,0.00821146,0.0246344,0.00821146
42,8364.86,0.01287,0.66475,1.12912,0.94074,0.92805,0.95984,0.67109,0.00878,0.37766,0.80049,0.0245002,0.00816674,0.0245002,0.00816674,0.0245002,0.00816674,0.0245002,0.00816674
43,8449.79,0.01291,0.66489,1.12904,0.9397,0.93078,0.96478,0.67396,0.00875,0.37666,0.7966,0.0243661,0.00812203,0.0243661,0.00812203,0.0243661,0.00812203,0.0243661,0.00812203
44,8534.06,0.01281,0.65661,1.12368,0.94509,0.92896,0.96586,0.6731,0.00869,0.37472,0.79246,0.0242319,0.00807732,0.0242319,0.00807732,0.0242319,0.00807732,0.0242319,0.00807732
45,8620.47,0.01284,0.66034,1.12414,0.94077,0.92586,0.96253,0.67418,0.00869,0.37281,0.79242,0.0240978,0.0080326,0.0240978,0.0080326,0.0240978,0.0080326,0.0240978,0.0080326
46,8705.74,0.01287,0.65416,1.12016,0.93932,0.92532,0.9604,0.67506,0.00868,0.37193,0.79185,0.0239637,0.00798789,0.0239637,0.00798789,0.0239637,0.00798789,0.0239637,0.00798789
47,8790.54,0.01284,0.65461,1.12455,0.9407,0.92259,0.95897,0.67498,0.00867,0.36899,0.79116,0.0238295,0.00794318,0.0238295,0.00794318,0.0238295,0.00794318,0.0238295,0.00794318
48,8875.17,0.01267,0.64704,1.11546,0.94145,0.92441,0.95855,0.67576,0.00865,0.37032,0.78994,0.0236954,0.00789846,0.0236954,0.00789846,0.0236954,0.00789846,0.0236954,0.00789846
49,8963.14,0.01273,0.64839,1.12024,0.93927,0.92532,0.95805,0.67652,0.00864,0.36965,0.79065,0.0235612,0.00785375,0.0235612,0.00785375,0.0235612,0.00785375,0.0235612,0.00785375
50,9048.74,0.01268,0.64819,1.10357,0.94205,0.92259,0.95973,0.67755,0.00864,0.36973,0.79033,0.0234271,0.00780904,0.0234271,0.00780904,0.0234271,0.00780904,0.0234271,0.00780904
51,9133.3,0.01261,0.63833,1.1105,0.93927,0.92532,0.96072,0.6788,0.00864,0.36992,0.79096,0.023293,0.00776432,0.023293,0.00776432,0.023293,0.00776432,0.023293,0.00776432
52,9217.95,0.0127,0.63999,1.11215,0.93738,0.9271,0.96081,0.67975,0.00863,0.36955,0.79105,0.0231588,0.00771961,0.0231588,0.00771961,0.0231588,0.00771961,0.0231588,0.00771961
53,9305.08,0.0125,0.63258,1.09839,0.94079,0.92611,0.96262,0.68029,0.00861,0.37289,0.79041,0.0230247,0.00767489,0.0230247,0.00767489,0.0230247,0.00767489,0.0230247,0.00767489
54,9390.55,0.01248,0.6296,1.10628,0.93785,0.92987,0.96135,0.68219,0.00862,0.37579,0.7918,0.0228905,0.00763018,0.0228905,0.00763018,0.0228905,0.00763018,0.0228905,0.00763018
55,9475.11,0.01255,0.6325,1.10732,0.93951,0.93352,0.96268,0.6823,0.00862,0.37515,0.792,0.0227564,0.00758547,0.0227564,0.00758547,0.0227564,0.00758547,0.0227564,0.00758547
56,9559.7,0.01251,0.62807,1.09582,0.94034,0.93534,0.96408,0.68469,0.00859,0.36982,0.79067,0.0226223,0.00754075,0.0226223,0.00754075,0.0226223,0.00754075,0.0226223,0.00754075
57,9646.39,0.01245,0.61943,1.09711,0.9394,0.93174,0.96506,0.686,0.00857,0.36713,0.78985,0.0224881,0.00749604,0.0224881,0.00749604,0.0224881,0.00749604,0.0224881,0.00749604
58,9734.07,0.01234,0.62139,1.09183,0.94043,0.93452,0.96671,0.68618,0.00855,0.36531,0.78876,0.022354,0.00745133,0.022354,0.00745133,0.022354,0.00745133,0.022354,0.00745133
59,9819.54,0.01238,0.62171,1.09575,0.94138,0.9326,0.96661,0.68717,0.00854,0.36524,0.7884,0.0222198,0.00740661,0.0222198,0.00740661,0.0222198,0.00740661,0.0222198,0.00740661
60,9904.26,0.01233,0.62201,1.09138,0.94517,0.93169,0.96528,0.68793,0.00851,0.36364,0.78724,0.0220857,0.0073619,0.0220857,0.0073619,0.0220857,0.0073619,0.0220857,0.0073619
61,9988.67,0.01243,0.62748,1.09595,0.94708,0.93169,0.96519,0.68891,0.00848,0.36013,0.78505,0.0219516,0.00731719,0.0219516,0.00731719,0.0219516,0.00731719,0.0219516,0.00731719
62,10077.7,0.0123,0.61427,1.09002,0.94694,0.9326,0.96611,0.68903,0.00846,0.35537,0.7847,0.0218174,0.00727247,0.0218174,0.00727247,0.0218174,0.00727247,0.0218174,0.00727247
63,10162.7,0.01233,0.62338,1.09157,0.94648,0.93169,0.96547,0.69006,0.00845,0.35385,0.78432,0.0216833,0.00722776,0.0216833,0.00722776,0.0216833,0.00722776,0.0216833,0.00722776
64,10247.5,0.01214,0.61285,1.08224,0.94747,0.93169,0.96598,0.69048,0.00844,0.35328,0.78448,0.0215491,0.00718305,0.0215491,0.00718305,0.0215491,0.00718305,0.0215491,0.00718305
65,10332,0.01219,0.61186,1.08916,0.94707,0.93169,0.96496,0.6909,0.00845,0.35114,0.78563,0.021415,0.00713833,0.021415,0.00713833,0.021415,0.00713833,0.021415,0.00713833
66,10420.8,0.01218,0.60567,1.0852,0.9454,0.93034,0.96449,0.69096,0.00845,0.3489,0.78579,0.0212809,0.00709362,0.0212809,0.00709362,0.0212809,0.00709362,0.0212809,0.00709362
67,10506.3,0.01216,0.60925,1.08184,0.9446,0.93167,0.96505,0.69262,0.00843,0.34775,0.78455,0.0211467,0.0070489,0.0211467,0.0070489,0.0211467,0.0070489,0.0211467,0.0070489
68,10592.4,0.01216,0.61168,1.08104,0.94415,0.93078,0.96401,0.69259,0.00843,0.34815,0.78466,0.0210126,0.00700419,0.0210126,0.00700419,0.0210126,0.00700419,0.0210126,0.00700419
