N°,N° Planilla,N° Muestreo,Latitud,Longitud,Tipo de coordenada,Observación 1,Barrio,Código Manzana,Fecha de Instalación,Lugar de Instalación,Fecha de Retiro,Código de Paleta,Observación 2,Viables,Eclosionados,Inviables,Eclosionados+Inviables,Total,Observación 3,IPO,IDH,IMO,IIV,IB,IR
10394,0,66,-25.306971,-57.667472,1,Coordenada exacta,TACUMBU,8620,03/10/2024,DERECHA PLANTERA,09/10/2024,T83,OVITRAMPA DESAPARECIDA,0,0,0,0,0,Ninguna.,,,,,,
10395,0,66,-25.307869,-57.66733,1,Coordenada exacta,TACUMBU,8600,03/10/2024,DERECHA ARBOL,09/10/2024,T84,NINGUNA,39,24,2,26,65,Ninguna.,,,,,,
10396,0,66,-25.308157,-57.667082,1,Coordenada exacta,TACUMBU,61080,03/10/2024,DERCHA ARBOL,09/10/2024,T85,NINGUNA,3,0,4,4,7,Ninguna.,,,,,,
10397,0,66,-25.308179,-57.666107,1,Coordenada exacta,TACUMBU,,03/10/2024,ENTRADA BAJO MANGO,09/10/2024,T86,OVITRAMPA DESAPARECIDA,3,16,0,16,19,Ninguna.,,,,,,
10398,0,66,-25.30932,-57.666851,1,Coordenada exacta,TACUMBU,8536,03/10/2024,IZQUIERDA ENTRE PLANTAS,09/10/2024,T87,NINGUNA,3,16,0,16,19,Ninguna.,,,,,,
10399,0,66,-25.30971,-57.667018,1,Coordenada exacta,TACUMBU,8660,03/10/2024,IZQUIERDA ENTRE PLANTAS,09/10/2024,T88,NINGUNA,48,62,31,93,141,Ninguna.,,,,,,
10400,0,66,-25.31454,-57.668641,1,Coordenada exacta,TACUMBU,8720,03/10/2024,FRENTE ENTRE PLANTAS,09/10/2024,T89,NINGUNA,55,98,23,121,176,Ninguna.,,,,,,
10401,0,66,-25.31489,-57.668824,1,Coordenada exacta,TACUMBU,8890,03/10/2024,LADO IZQUIERDO ENTRE ARBOL,09/10/2024,T90,NINGUNA,26,68,17,85,111,Ninguna.,,,,,,
10402,0,66,-25.314754,-57.668366,1,Coordenada exacta,TACUMBU,8720,03/10/2024,FRENTE LADO DERECHO,09/10/2024,T91,NINGUNA,86,103,25,128,214,Ninguna.,,,,,,
10403,0,66,-25.315082,-57.6682,1,Coordenada exacta,TACUMBU,8730,03/10/2024,FRENTE ENTRE PLANTAS,09/10/2024,T92,NINGUNA,2,48,16,64,66,Ninguna.,,,,,,
10404,0,66,-25.316319,-57.668495,1,Coordenada exacta,TACUMBU,8930,03/10/2024,AL COSTADO DE LA CASA LADO DERECHO,09/10/2024,T93,NINGUNA,9,18,8,26,35,Ninguna.,,,,,,
10405,0,66,-25.316607,-57.668059,1,Coordenada exacta,TACUMBU,8730,03/10/2024,COSTADO DE LA CASA LADO IZQUIERDO,09/10/2024,T94,NINGUNA,56,62,32,94,150,Ninguna.,,,,,,
10406,0,66,-25.316855,-57.667836,1,Coordenada exacta,TACUMBU,8861,03/10/2024,FRENTE AL TANQUE DE AGUA,09/10/2024,T95,NINGUNA,43,29,21,50,93,Ninguna.,,,,,,
10407,0,66,-25.317134,-57.666253,1,Coordenada exacta,TACUMBU,8861,03/10/2024,FRENTE ENTRE PLANTAS,09/10/2024,T96,NINGUNA,13,47,34,81,94,Ninguna.,,,,,,
10408,0,66,-25.317151,-57.665612,1,Coordenada exacta,TACUMBU,8459,03/10/2024,FRENTE LADO DERECHO,09/10/2024,T97,NINGUNA,5,12,2,14,19,Ninguna.,,,,,,
10409,0,66,-25.316153,-57.665243,1,Coordenada exacta,TACUMBU,8920,03/10/2024,FRENTE DE LA CASA,09/10/2024,T98,NINGUNA,45,1,20,21,66,Ninguna.,,,,,,
10410,0,66,-25.315418,-57.664871,1,Coordenada exacta,TACUMBU,8910,03/10/2024,FRENTE ENTRE PLANTAS,09/10/2024,T99,NINGUNA,5,0,3,3,8,Ninguna.,,,,,,
10411,0,66,-25.31447,-57.664939,1,Coordenada exacta,TACUMBU,8840,03/10/2024,DETRAS DEL TANQUE,09/10/2024,T100,NINGUNA,0,0,2,2,2,Ninguna.,,,,,,
10412,0,66,-25.313986,-57.66524,1,Coordenada exacta,TACUMBU,8456,03/10/2024,LADO IZQUIERDO ENTRE PLANTAS,09/10/2024,T101,NINGUNA,5,5,23,28,33,Ninguna.,,,,,,
10413,0,66,-25.313619,-57.665614,1,Coordenada exacta,TACUMBU,8720,03/10/2024,FRENTE AL NICHO,09/10/2024,T102,NINGUNA,12,22,14,36,48,Ninguna.,,,,,,
10414,0,66,-25.313278,-57.66533,1,Coordenada exacta,TACUMBU,S/C,03/10/2024,FRENTE. ENTRE LAVARROPAS,09/10/2024,T103,NINGUNA,105,145,39,184,289,Ninguna.,,,,,,
10415,0,66,-25.311651,-57.667192,1,Coordenada exacta,TACUMBU,S/C,03/10/2024,FRENTE AL LADO SOFA,09/10/2024,T104,NINGUNA,2,11,14,25,27,Ninguna.,,,,,,
10416,0,66,-25.311376,-57.667554,1,Coordenada exacta,TACUMBU,8721,03/10/2024,FRENTE ENTRE PLANTAS,09/10/2024,T105,NINGUNA,4,1,5,6,10,Ninguna.,,,,,,
10419,0,64,-25.259355,-57.574146,1,Coordenada exacta,TRINIDAD,51340,14/10/2024,PATIO FRENTE ENTRE PLANTAS,21/10/2024,ST1,NINGUNA,14,0,1,1,15,Ninguna.,,,,,,
10420,0,64,-25.257887,-57.5699,1,Coordenada exacta,TRINIDAD,51340,14/10/2024,FRENTE ENTRE PATIO,21/10/2024,ST2,NINGUNA,2,1,8,9,11,Ninguna.,,,,,,
10421,0,64,-25.257353,-57.571743,1,Coordenada exacta,TRINIDAD,51330,14/10/2024,PATIO FRENTE ENTRE PLANTAS,21/10/2024,ST3,NINGUNA,59,79,68,147,206,Ninguna.,,,,,,
10422,0,64,-25.256548,-57.571517,1,Coordenada exacta,TRINIDAD,51150,14/10/2024,FRENTE DEBAJO DEL COCHE VIEJO,21/10/2024,ST4,NINGUNA,32,1,61,62,94,Ninguna.,,,,,,
10423,0,64,-25.25559,-57.573128,1,Coordenada exacta,TRINIDAD,51150,14/10/2024,FRENTE MURALLA LADRILLO,21/10/2024,ST5,NINGUNA,23,4,31,35,58,Ninguna.,,,,,,
10424,0,64,-25.255537,-57.573766,1,Coordenada exacta,TRINIDAD,51110,14/10/2024,FRENTE DEBAJO DEL ESTANTE,21/10/2024,ST6,NINGUNA,1,0,1,1,2,Ninguna.,,,,,,
10425,0,64,-25.255943,-57.575054,1,Coordenada exacta,TRINIDAD,51120,14/10/2024,FRENTE ENTRE PLANTAS,21/10/2024,ST7,NINGUNA,22,27,91,118,140,Ninguna.,,,,,,
10426,0,64,-25.255771,-57.57486,1,Coordenada exacta,TRINIDAD,51220,14/10/2024,FRENTRE ENTRE PLANTAS PORTON,21/10/2024,ST8,OVITRAMPA DESAPARECIDA,0,0,0,0,0,Ninguna.,,,,,,
10427,0,64,-25.255199,-57.57552,1,Coordenada exacta,TRINIDAD,51070,14/10/2024,FONDO ENTRE PLANTAS,21/10/2024,ST9,NINGUNA,9,7,28,35,44,Ninguna.,,,,,,
10428,0,64,-25.254926,-57.575533,1,Coordenada exacta,TRINIDAD,51220,14/10/2024,PATIO FONDO COSTADO,21/10/2024,ST10,OVITRAMPA DESAPARECIDA,0,0,0,0,0,Ninguna.,,,,,,
10429,0,64,-25.25876,-57.574796,1,Coordenada exacta,TRINIDAD,51280,14/10/2024,COSTADO DEL ARBOL ENTRADA,21/10/2024,ST11,NINGUNA,2,0,6,6,8,Ninguna.,,,,,,
10430,0,64,-25.259171,-57.575378,1,Coordenada exacta,TRINIDAD,51410,14/10/2024,AL COSTADO DE LA PALMERA,21/10/2024,ST12,NINGUNA,7,7,35,42,49,Ninguna.,,,,,,
10431,0,64,-25.259521,-57.575812,1,Coordenada exacta,TRINIDAD,51450,14/10/2024,"AL COSTADO, ARBOL MBURUKUYA",21/10/2024,ST13,NINGUNA,2,3,5,8,10,Ninguna.,,,,,,
10432,0,64,-25.260217,-57.576388,1,Coordenada exacta,TRINIDAD,51490,14/10/2024,ENTRE PLANTAS DE ZAPALLITO,21/10/2024,ST14,CASA CERRADA,0,0,0,0,0,Ninguna.,,,,,,
10433,0,64,-25.258795,-57.578269,1,Coordenada exacta,TRINIDAD,51410,14/10/2024,ENTRE PLANTAS DE ZAPALLITO,21/10/2024,ST15,CASA CERRADA,0,0,0,0,0,Ninguna.,,,,,,
10434,0,64,-25.258108,-57.579158,1,Coordenada exacta,TRINIDAD,51320,14/10/2024,"COSTADO DE PUERTA, PLANTERA",21/10/2024,ST16,NINGUNA,11,21,8,29,40,Ninguna.,,,,,,
10435,0,64,-25.257395,-57.57807,1,Coordenada exacta,TRINIDAD,51320,14/10/2024,COSTADO DE LA CANILLA,21/10/2024,ST17,NINGUNA,31,34,50,84,115,Ninguna.,,,,,,
10436,0,64,-25.257606,-57.576998,1,Coordenada exacta,TRINIDAD,51320,14/10/2024,FONDO DEBAJO DE LA VENTANA,21/10/2024,ST18,NINGUNA,3,10,13,23,26,Ninguna.,,,,,,
10437,0,64,-25.256841,-57.576771,1,Coordenada exacta,TRINIDAD,51180,14/10/2024,FONDO ENTRE LAS PLANTAS,21/10/2024,ST19,NINGUNA,42,20,69,89,131,Ninguna.,,,,,,
10438,0,64,-25.255332,-57.577234,1,Coordenada exacta,TRINIDAD,51100,14/10/2024,COSTADO DE LA CANILLA,21/10/2024,ST20,NINGUNA,11,7,13,20,31,Ninguna.,,,,,,
10439,0,64,-25.256328,-57.578543,1,Coordenada exacta,TRINIDAD,51210,14/10/2024,LADO IZQUIERDO ENTRE PLANTAS,21/10/2024,ST21,NINGUNA,16,0,3,3,19,Ninguna.,,,,,,
10440,0,64,-25.256218,-57.578554,1,Coordenada exacta,TRINIDAD,51200,14/10/2024,LADO IZQUIERDO ENTRE PLANTAS,21/10/2024,ST22,CASA CERRADA,0,0,0,0,0,Ninguna.,,,,,,
10441,0,64,-25.256375,-57.580607,1,Coordenada exacta,TRINIDAD,51230,14/10/2024,LADO DERECHO ENTRE PLANTAS,21/10/2024,ST23,CASA CERRADA,0,0,0,0,0,Ninguna.,,,,,,
10442,0,64,-25.255537,-57.579474,1,Coordenada exacta,TRINIDAD,51160,14/10/2024,LADO DERECHO ENTRE PLANTAS,21/10/2024,ST24,NINGUNA,24,14,34,48,72,Ninguna.,,,,,,
10443,0,64,-25.254467,-57.578564,1,Coordenada exacta,TRINIDAD,51100,14/10/2024,LADO DERECHO ENTRE PLANTAS,21/10/2024,ST25,NINGUNA,13,4,10,14,27,Ninguna.,,,,,,
10444,0,64,-25.253688,-57.576965,1,Coordenada exacta,TRINIDAD,51030,14/10/2024,FRENTE DERECHO EN PLANTERA,21/10/2024,ST26,NINGUNA,49,9,63,72,121,Ninguna.,,,,,,
10445,0,64,-25.253027,-57.577984,1,Coordenada exacta,TRINIDAD,51030,14/10/2024,FRENTE IZQUIERDO ENTRE PLANTA,21/10/2024,ST27,CASA CERRADA,0,0,0,0,0,Ninguna.,,,,,,
10446,0,64,-25.254315,-57.57891,1,Coordenada exacta,TRINIDAD,51060,14/10/2024,FRENTE DERECHO EN PLANTERA,21/10/2024,ST28,NINGUNA,12,1,54,55,67,Ninguna.,,,,,,
10447,0,64,-25.254295,-57.579927,1,Coordenada exacta,TRINIDAD,51090,14/10/2024,FRENTE IZQUIERDO ENTRE PLANTA,21/10/2024,ST29,NINGUNA,13,2,25,27,40,Ninguna.,,,,,,
10448,0,64,-25.254381,-57.580396,1,Coordenada exacta,TRINIDAD,51170,14/10/2024,FRENTE IZQUIERDO ENTRE PLANTA,21/10/2024,ST30,NINGUNA,7,7,15,22,29,Ninguna.,,,,,,
10449,0,64,-25.256418,-57.582773,1,Coordenada exacta,TRINIDAD,51170,14/10/2024,ADENTRO BAJO MOSTRADOR,21/10/2024,ST31,NINGUNA,1,0,0,0,1,Ninguna.,,,,,,
10450,0,64,-25.261519,-57.576612,1,Coordenada exacta,TRINIDAD,51160,14/10/2024,EN FRENTE DEL PORTON,21/10/2024,ST32,CASA CERRADA,0,0,0,0,0,Ninguna.,,,,,,
10451,0,64,-25.261006,-57.579218,1,Coordenada exacta,TRINIDAD,5150,14/10/2024,ENFRENTE DEL CANTARO,21/10/2024,ST33,NINGUNA,58,0,6,6,64,Ninguna.,,,,,,
10452,0,64,-25.260315,-57.580157,1,Coordenada exacta,TRINIDAD,51540,14/10/2024,"A LADO DE LA PUETA, FRENTE",21/10/2024,ST34,NINGUNA,62,8,30,38,100,Ninguna.,,,,,,
10453,0,64,-25.260904,-57.58073,1,Coordenada exacta,TRINIDAD,51510,14/10/2024,EN EL CANTARITO,21/10/2024,ST35,NINGUNA,13,1,4,5,18,Ninguna.,,,,,,
10454,0,64,-25.261093,-57.551187,1,Coordenada exacta,TRINIDAD,51390,14/10/2024,AL LADO DE LA CANILLA,21/10/2024,ST36,NINGUNA,49,22,8,30,79,Ninguna.,,,,,,
10455,0,64,-25.2584116,-57.582288,1,Coordenada exacta,TRINIDAD,51360,14/10/2024,CERCA DE LA PALMERA,21/10/2024,ST37,NINGUNA,8,2,4,6,14,Ninguna.,,,,,,
10456,0,64,-25.258487,-57.58116,1,Coordenada exacta,TRINIDAD,51190,14/10/2024,DETRAS DE PLANTERA ,21/10/2024,ST38,NINGUNA,33,4,41,45,78,Ninguna.,,,,,,
10457,0,64,-25.257232,-57.582405,1,Coordenada exacta,TRINIDAD,51350,14/10/2024,AL LADO DE LA PLANTERA,21/10/2024,ST39,NINGUNA,23,27,155,182,205,Ninguna.,,,,,,
10458,0,64,-25.259429,-57.58103,1,Coordenada exacta,TRINIDAD,51260,14/10/2024,ENTRE LA PLANTA,21/10/2024,ST40,NINGUNA,7,0,22,22,29,Ninguna.,,,,,,
10459,0,64,-25.257761,-57.584033,1,Coordenada exacta,TRINIDAD,51390,14/10/2024,AL LADO DE LA PLANTERA,21/10/2024,ST41,NINGUNA,10,7,30,37,47,Ninguna.,,,,,,
10460,0,64,-25.258392,-57.582851,1,Coordenada exacta,TRINIDAD,25,14/10/2024,DEBAJO DEL TAYJ,21/10/2024,ST42,NINGUNA,0,0,0,0,0,Ninguna.,,,,,,
10462,0,67,-25.304337,-57.6443154,1,Coordenada exacta,OBRERO,12370,02/10/2024,FRENTE IZUIERDA BAJO PLANTA,08/10/2024,T2,NINGUNA,10,0,6,6,16,Ninguna.,,,,,,
10463,0,67,-25.305307,-57.641628,1,Coordenada exacta,OBRERO,12660,02/10/2024,"FONDO DERECHA, AL LADO DEL TANQUE",08/10/2024,T3,NINGUNA,0,0,0,0,0,Ninguna.,,,,,,
10464,0,67,-25.304315,-57.640782,1,Coordenada exacta,OBRERO,12460,02/10/2024,PATIO IZQUIERDO POR PARED DEL BAÑO,08/10/2024,T4,NINGUNA,0,0,0,0,0,Ninguna.,,,,,,
10465,0,67,-25.30512,-57.638964,1,Coordenada exacta,OBRERO,12620,02/10/2024,PATIO IZQUIERDO POR PARED,08/10/2024,T5,NINGUNA,0,1,0,1,1,Ninguna.,,,,,,
10466,0,67,-25.303688,-57.638225,1,Coordenada exacta,OBRERO,12600,02/10/2024,"PATIO FRENTE IZQUIERDA, MURALLA",08/10/2024,T6,NINGUNA,3,10,2,12,15,Ninguna.,,,,,,
10467,0,67,-25.306362,-57.63675,1,Coordenada exacta,OBRERO,12890,02/10/2024,PATIO FRENTE EN PLANTERA,08/10/2024,T7,NINGUNA,5,4,4,8,13,Ninguna.,,,,,,
10468,0,67,-25.307364,-57.637718,1,Coordenada exacta,OBRERO,12980,02/10/2024,PATIO FRENTE. IZQUIERDO ENTRE PLANTA,08/10/2024,T8,NINGUNA,3,2,36,38,41,Ninguna.,,,,,,
10469,0,67,-25.308652,-57.638279,1,Coordenada exacta,OBRERO,13140,02/10/2024,"PATIO FRENTE, DERECHA ENTRE PLANTA",08/10/2024,T9,NINGUNA,0,0,0,0,0,Ninguna.,,,,,,
10470,0,67,-25.309631,-57.639113,1,Coordenada exacta,OBRERO,13320,02/10/2024,PATIO DEPOSITO,08/10/2024,T10,NINGUNA,1,25,3,28,29,Ninguna.,,,,,,
10471,0,67,-25.308356,-57.6440518,1,Coordenada exacta,OBRERO,13180,02/10/2024,PATIO IZQUIERDO EN PLANTERA,08/10/2024,T11,NINGUNA,5,0,4,4,9,Ninguna.,,,,,,
10472,0,67,-25.307958,-57.639622,1,Coordenada exacta,OBRERO,13010,02/10/2024,PATIO BAJO PILETA,08/10/2024,T12,NINGUNA,30,1,2,3,33,Ninguna.,,,,,,
10473,0,67,-25.307204,-57.639203,1,Coordenada exacta,OBRERO,12920,02/10/2024,"PATIO FRENTE IZQUIERDA, ENTRE PLANTA",08/10/2024,T13,NINGUNA,0,0,1,1,1,Ninguna.,,,,,,
10474,0,67,-25.30655,-57.639903,1,Coordenada exacta,OBRERO,12830,02/10/2024,FRENTE PATIO ENTRE PLANTA,08/10/2024,T14,NINGUNA,0,2,2,4,4,Ninguna.,,,,,,
10475,0,67,-25.307308,-57.641299,1,Coordenada exacta,OBRERO,13030,02/10/2024,PATIO FRENTE IZQUIERDO. PARED,08/10/2024,T15,NINGUNA,53,1,8,9,62,Ninguna.,,,,,,
10476,0,67,-25.309046,-57.64182,1,Coordenada exacta,OBRERO,13120,02/10/2024,FRENTE PATIO ENTRE PLANTA,08/10/2024,T16,NINGUNA,8,1,5,6,14,Ninguna.,,,,,,
10477,0,67,-25.307487,-57.643059,1,Coordenada exacta,OBRERO,12960,02/10/2024,FRENTE PATIO DERECHA. PARED ARBOL LAPACHO,08/10/2024,T17,NINGUNA,49,1,10,11,60,Ninguna.,,,,,,
10478,0,67,-25.306498,-57.643304,1,Coordenada exacta,OBRERO,12870,02/10/2024,FRENTE PATIO IZQUIERDA ENTRE PLANTA,08/10/2024,T18,NINGUNA,8,0,6,6,14,Ninguna.,,,,,,
10479,0,67,-25.306544,-57.643255,1,Coordenada exacta,OBRERO,12690,02/10/2024,FRENTE PATIO ENTRE PLANTA,08/10/2024,T19,NINGUNA,1,8,5,13,14,Ninguna.,,,,,,
10480,0,67,-25.30691,-57.644064,1,Coordenada exacta,OBRERO,12900,02/10/2024,"FREMTE REJA, ENTRE PLANTAS ",08/10/2024,T20,NINGUNA,14,0,6,6,20,Ninguna.,,,,,,
10481,0,67,-25.300762,-57.642593,1,Coordenada exacta,OBRERO,11650,02/10/2024,COSTADO DE LA CASA ENTRE PLANTERA,08/10/2024,T21,NINGUNA,16,4,37,41,57,Ninguna.,,,,,,
10482,0,67,-25.301817,-57.640832,1,Coordenada exacta,OBRERO,11760,02/10/2024,ATRAS DE LA CASA COSTADO DE MURALLA,08/10/2024,T22,CASA CERRADA,0,0,0,0,0,Ninguna.,,,,,,
10483,0,67,-25.302365,-57.639534,1,Coordenada exacta,OBRERO,12010,02/10/2024,FRENTE DE LA CASA ENTRE PALMERA Y MOTOR,08/10/2024,T23,CASA CERRADA,0,0,0,0,0,Ninguna.,,,,,,
10484,0,67,-25.303093,-57.63846,1,Coordenada exacta,OBRERO,12280,02/10/2024,EN EL MEDIO DEL ARBOL ENTRE LAS PLANTAS,08/10/2024,T24,NINGUNA,0,1,8,9,9,Ninguna.,,,,,,
10485,0,67,-25.303683,-57.637357,1,Coordenada exacta,OBRERO,12380,02/10/2024,FRENTE AL COSTADO DEL TANQUE,08/10/2024,T25,NINGUNA,63,19,8,27,90,Ninguna.,,,,,,
10486,0,67,-25.303098,-57.636839,1,Coordenada exacta,OBRERO,12080,02/10/2024,ATRAS ENTRE MURALLA Y ARBOL,08/10/2024,T26,CASA CERRADA,0,0,0,0,0,Ninguna.,,,,,,
10487,0,67,-25.302407,-57.638283,1,Coordenada exacta,OBRERO,11970,02/10/2024,AL COSTADO DE LA MURALLA ENTRE PLANTAS,08/10/2024,T27,NINGUNA,21,5,5,10,31,Ninguna.,,,,,,
10488,0,67,-25.301701,-57.639775,1,Coordenada exacta,OBRERO,11740,02/10/2024,ATRAS DE LA CASA COSTADO DE LA PARED,08/10/2024,T28,NINGUNA,3,18,5,23,26,Ninguna.,,,,,,
10489,0,67,-25.301049,-57.64014,1,Coordenada exacta,OBRERO,11630,02/10/2024,ENTRE LAS PLANTAS,08/10/2024,T29,NINGUNA,25,3,8,11,36,Ninguna.,,,,,,
10490,0,67,-25.300143,-57.641871,1,Coordenada exacta,OBRERO,11380,02/10/2024,ENTRE LAS PLANTAS DE LA MURALLA,08/10/2024,T30,NINGUNA,11,3,5,8,19,Ninguna.,,,,,,
10491,0,67,-25.299178,-57.641237,1,Coordenada exacta,OBRERO,11270,02/10/2024,COSTADO DE LA PLANTERA,08/10/2024,T31,NINGUNA,6,0,0,0,6,Ninguna.,,,,,,
10492,0,67,-25.300292,-57.639418,1,Coordenada exacta,OBRERO,11460,02/10/2024,AL COSTADO DE LA PALMERA,08/10/2024,T32,NINGUNA,2,0,1,1,3,Ninguna.,,,,,,
10493,0,67,-25.300689,-57.638576,1,Coordenada exacta,OBRERO,11580,02/10/2024,AL COSTADO DE LAS PLANTAS,08/10/2024,T33,NINGUNA,24,5,19,24,48,Ninguna.,,,,,,
10494,0,67,-25.301403,-57.636975,1,Coordenada exacta,OBRERO,11790,02/10/2024,AL COSTADO DE LA PUERTA,08/10/2024,T34,NINGUNA,23,16,22,38,61,Ninguna.,,,,,,
10495,0,67,-25.30009,-57.638719,1,Coordenada exacta,OBRERO,11070,02/10/2024,AL COSTADO DEL ARBOL,08/10/2024,T35,NINGUNA,4,7,6,13,17,Ninguna.,,,,,,
10496,0,67,-25.99524,-57.639183,1,Coordenada exacta,OBRERO,10900,02/10/2024,DEBAJO DE LA PILETA,08/10/2024,T36,NINGUNA,8,0,13,13,21,Ninguna.,,,,,,
10497,0,67,-25.299676,-57.637715,1,Coordenada exacta,OBRERO,11080,02/10/2024,AL COSTADO DE LA MURALLA ,08/10/2024,T37,NINGUNA,6,0,8,8,14,Ninguna.,,,,,,
10498,0,67,-25.297682,-57.640044,1,Coordenada exacta,OBRERO,10900,02/10/2024,AL COSTADO DEL ARBOL,08/10/2024,T38,NINGUNA,4,0,0,0,4,Ninguna.,,,,,,
10499,0,67,-25.296762,-57.638255,1,Coordenada exacta,OBRERO,10900,02/10/2024,COSTADO DEL PORTON,08/10/2024,T39,NINGUNA,14,3,9,12,26,Ninguna.,,,,,,
10500,0,67,-25.298077,-57.636502,1,Coordenada exacta,OBRERO,10900,02/10/2024,AL COSTADO DE LA PALMERA,08/10/2024,T40,NINGUNA,32,2,3,5,37,Ninguna.,,,,,,
10501,0,67,-25.300535,-57.643324,1,Coordenada exacta,OBRERO,11420,02/10/2024,DEBAJO DE LA ESCALERA,08/10/2024,T41,NINGUNA,0,0,0,0,0,Ninguna.,,,,,,
10502,0,67,-25.299305,-57.64274,1,Coordenada exacta,OBRERO,11330,02/10/2024,DEBAJO DE LA ESCALERA,08/10/2024,T42,NINGUNA,20,12,15,27,47,Ninguna.,,,,,,
10503,0,67,-25.297938,-57.642352,1,Coordenada exacta,OBRERO,11040,02/10/2024,EN PLANTA DE GUAYABA,08/10/2024,T43,NINGUNA,2,0,17,17,19,Ninguna.,,,,,,
10504,0,67,-25.297315,-57.641824,1,Coordenada exacta,OBRERO,10970,02/10/2024,ENTRE PLANTA,08/10/2024,T44,NINGUNA,0,0,0,0,0,Ninguna.,,,,,,
10505,0,67,-25.296172,-57.640159,1,Coordenada exacta,OBRERO,10810,02/10/2024,BAJO CAJA DE MADERA,08/10/2024,T45,NINGUNA,22,1,3,4,26,Ninguna.,,,,,,
10506,0,67,-25.29561,-57.641123,1,Coordenada exacta,OBRERO,10790,02/10/2024,ENTRE PLANTA DERECHA,08/10/2024,T46,NINGUNA,1,4,6,10,11,Ninguna.,,,,,,
10507,0,67,-25.297055,-57.642866,1,Coordenada exacta,OBRERO,10870,02/10/2024,"ENTRE PLANTA, SAN JORGE",08/10/2024,T47,NINGUNA,10,1,10,11,21,Ninguna.,,,,,,
10508,0,67,-25.297389,-57.643154,1,Coordenada exacta,OBRERO,10990,02/10/2024,EN PLANTERA BLANCA,08/10/2024,T48,NINGUNA,2,2,1,3,5,Ninguna.,,,,,,
10509,0,67,-25.299177,-57.643342,1,Coordenada exacta,OBRERO,11170,02/10/2024,BAJO PILETA,08/10/2024,T49,OVITRAMPA DESAPARECIDA,0,0,0,0,0,Ninguna.,,,,,,
10510,0,67,-25.300553,-57.644269,1,Coordenada exacta,OBRERO,11470,02/10/2024,AL LADO DE PARILLA (IZQUIERDA),08/10/2024,T50,NINGUNA,0,0,0,0,0,Ninguna.,,,,,,
10511,0,67,-25.299173,-57.646228,1,Coordenada exacta,OBRERO,11340,02/10/2024,EN PLANTA AL LADO DEL TAMBOR,08/10/2024,T51,NINGUNA,8,1,5,6,14,Ninguna.,,,,,,
10512,0,67,-25.298962,-57.647965,1,Coordenada exacta,OBRERO,7850,02/10/2024,DETRAS DE PLANTERA IZQUIERDA,08/10/2024,T52,OVITRAMPA DESAPARECIDA,0,0,0,0,0,Ninguna.,,,,,,
10513,0,67,-25.297139,-57.647712,1,Coordenada exacta,OBRERO,7680,02/10/2024,ENTRE PLANTA,08/10/2024,T53,NINGUNA,0,3,1,4,4,Ninguna.,,,,,,
10514,0,67,-25.297827,-57.646026,1,Coordenada exacta,OBRERO,1140,02/10/2024,CERCA DEL PORTON IZQUIERDO,08/10/2024,T54,NINGUNA,1,7,1,8,9,Ninguna.,,,,,,
10515,0,67,-25.296035,-57.645333,1,Coordenada exacta,OBRERO,10890,02/10/2024,FONDO ENTRE PALMERA,08/10/2024,T55,CASA CERRADA,0,0,0,0,0,Ninguna.,,,,,,
10516,0,67,-25.296366,-57.645616,1,Coordenada exacta,OBRERO,10840,02/10/2024,DEBAJO DEL AIRE,08/10/2024,T56,NINGUNA,2,0,3,3,5,Ninguna.,,,,,,
10517,0,67,-25.295302,-57.645566,1,Coordenada exacta,OBRERO,10800,02/10/2024,ENTRE PLANTERA GRANDE,08/10/2024,T57,NINGUNA,75,3,24,27,102,Ninguna.,,,,,,
10518,0,67,-25.295285,-57.645153,1,Coordenada exacta,OBRERO,10620,02/10/2024,ENTRE PLANTERA,08/10/2024,T58,NINGUNA,14,4,1,5,19,Ninguna.,,,,,,
10519,0,67,-25.294221,-57.643357,1,Coordenada exacta,OBRERO,10750,02/10/2024,"ENTRE PLANTAS, LADO VENTANA",08/10/2024,T59,NINGUNA,2,1,1,2,4,Ninguna.,,,,,,
10520,0,67,-25.25293693,-57.644013,1,Coordenada exacta,OBRERO,10740,02/10/2024,DETRAS DE PLANTAS,08/10/2024,T60,NINGUNA,32,5,23,28,60,Ninguna.,,,,,,
10521,0,67,-25.302852,-57.643219,1,Coordenada exacta,OBRERO,12090,02/10/2024,FRENTE IZQUIERDO ATRAS PLANTERA,08/10/2024,T61,NINGUNA,0,3,0,3,3,Ninguna.,,,,,,
10522,0,67,-25.302048,-57.64464,1,Coordenada exacta,OBRERO,11850,02/10/2024,FONDO DERCHO REGISTRO,08/10/2024,T62,NINGUNA,2,2,4,6,8,Ninguna.,,,,,,
10523,0,67,-25.301323,-57.646107,1,Coordenada exacta,OBRERO,11770,02/10/2024,FONDO IZQUIERDO ATRAS DE COCHE,08/10/2024,T63,NINGUNA,1,4,3,7,8,Ninguna.,,,,,,
10524,0,67,-25.300622,-57.647105,1,Coordenada exacta,OBRERO,11590,02/10/2024,FRENTE DERECHO ENTRE PLANTAS,08/10/2024,T64,NINGUNA,55,2,11,13,68,Ninguna.,,,,,,
10526,0,67,-25.301189,-57.64914,1,Coordenada exacta,OBRERO,11730,02/10/2024,FONDO DERCHO ENTRE ALOE VERA,08/10/2024,T66,NINGUNA,3,8,1,9,12,Ninguna.,,,,,,
